;sentence;class
36;A Apple deve lançar seu próprio cartão de crédito em parceria com o banco Goldman Sachs , aponta uma reportagem do The Wall Street Journal . , banco Goldman Sachs , Apple;1
446;Agtech israelense See Tree recebe apoio para atuar no Brasil . , Brasil , See Tree;1
2485;O levantamento aponta que o Mercado Pago, braço de pagamentos on line do Mercado Livre, terá um trimestre forte, principalmente na Argentina, onde lojas estão intensificando o uso de pagamentos digitais. , Mercado Pago , Argentina;1
1301;O Intesa Sanpaolo é o último a fazer testes com impressões digitais , em colaboração com a Gemalto e com a startup nórdica Zwipe . , Zwipe , Gemalto;0
1027;Nesse grupo , destaque para Via Varejo , Magazine Luiza , Carrefour e B2W , dona das marcas Americanas.com e Submarino . , Via Varejo , Submarino;0
1807;A WEX criou nova solução de benefícios : o cartão YEX Visa , em parceria com a Visa . , Visa , WEX;1
1020;Não temos certeza de que aquela carga era ilegal, mas sabemos que 80% da atividade madeireira no Brasil é irregular e que a Selvaplac tem uma tradição de envolvimento com madeira ilegalmente extraída', disse à Folha Rebeca Lerer, ativista brasileira do Greenpeace. , Greenpeace , Rebeca Lerer;1
1122;O biólogo William Eberhard, da Universidade da Costa Rica, descobriu que as larvas de esse inseto, ao parasitar a aranha Plesiometa argyra, provocam mudanças no comportamento da hospedeira. , Plesiometa , Universidade da Costa Rica;0
2796;Depois de a Via Varejo afirmar que é hora de voltar a acelerar aberturas de lojas, o Magazine Luiza também vai retomar a expansão orgânica, após um primeiro semestre fraco para ambas nesse sentido. , Magazine Luiza , Via Varejo;0
1404;O serviço que permite que empresas se comuniquem e interajam com clientes por meio do aplicativo de Mensagens tem seu primeiro parceiro oficializado no Brasil a Porto Seguro Cartões , subsidiária do grupo Porto Seguro . , Porto Seguro , Porto Seguro Cartões;1
3266;A Barbosa Chip é homologada pela Anatel e usará a infraestrutura de rede da Dry, que é uma MVNO credenciada que está conectada à plataforma da Surf Telecom, uma agregadora de MVNOs. , Dry , Surf Telecom;1
63;A cimeira União Europeia-África, prevista para 8 e 9 de Dezembro em Lisboa, não deve ser uma cimeira sobre o presidente do Zimbabwe, Robert Mugabe, defendeu hoje José Sócrates, primeiro-ministro português e presidente em exercício da União Europeia . , Zimbabwe , José Sócrates;0
888;Goldman pretende financiar expansão do Nubank na América Latina . , América Latina , Goldman;0
2161;Os sócios Santander Brasil e o mineiro Bonsucesso estão próximos de terminar o casamento anunciado há quase cinco anos e que deu origem à Olé para explorar crédito consignado , aquele com desconto em folha de pagamento. , Bonsucesso , Olé;0
1034;No mês passado, o presidente da Câmara de Nova Iorque, Michael Bloomberg, decidiu entregar o cartão de militante do Partido Conservador . , Michael Bloomberg , Câmara de Nova Iorque;1
610;Apresentada na Bienal de Veneza em 2003, a obra 'Guaraná Power', do coletivo dinamarquês Superflex, foi selecionada pela curadoria da 27ª Bienal de São Paulo mas teve sua exibição vetada pela Fundação realizadora da mostra. , Guaraná Power , Bienal de São Paulo;1
1083;O achado foi apresentado por Mark Mattson, do Instituto Nacional do Envelhecimentos dos EUA, durante a 170ª Reunião Anual da Associação Americana para o Avanço da Ciência, em Seattle, no noroeste dos Estados Unidos. , Instituto Nacional do Envelhecimentos dos EUA , Mark Mattson;1
167;A gigante chinesa de internet Tencent Holdings está adquirindo uma participação no aplicativo de pagamentos móveis Uala , da Argentina , se juntando no projeto a sócios como o Goldman Sachs e os bilionários George Soros e Steve Cohen . , Uala , Tencent Holdings;1
317;A recuperação da confiança em os mercados de capitais deverá estimular a entrada de novas empresas em bolsa, quer através de privatizações, como ANA, TAP e Aquapor, quer através de capital privado, segundo gestores de activos contactados pela Lusa. , TAP , Aquapor;0
397;A sua fundação, como 'Biblioteca de Marinha', deve-se à Rainha D. Maria II, por decreto de 7 de Janeiro de 1835, ficando de ínicio integrada no Arsenal Real de Marinha e instalada no andar nobre do respectivo edíficio da Ribeira das Naus. , Ribeira das Naus , Rainha D. Maria II;0
1695;Usuários de celulares da Samsung com NFC nos Estados Unidos acabam de ganhar uma nova funcionalidade que promete agilizar transferências de dinheiro em uma série de países . , Estados Unidos , Samsung;1
332;A rede da Anova conecta , alem da Chicago Market Exchange , as bolsas BATS , Nasdaq , de Nova York e Cboe Markets . , BATS , Anova;1
2211;O ator estrela o filme da nova campanha desenvolvida pelo Serasa Consumidor , startup e braço da Serasa Experian , para promover a plataforma de renegociação de dívidas online , o Serasa Limpa Nome . , Serasa Consumidor , Serasa Experian;1
1049;No próximo domingo , termina o prazo de inscrições para o espaço FintechCoopLab , iniciativa coordenada pelo FintechLab e pelo Torq em parceria com a Confebras , realizadora do evento . , Confebras , Torq;1
2825;Lançamento da 99Pay, a primeira carteira digital do setor no Brasil, em parceria com uma empresa que está integrada ao sistema de pagamento instantâneo do Banco Central, PIX. , PIX , Banco Central;1
784;Em maio , o Instituto Sicoob irá realizar , em parceria com a Associação Brasileira de Planejadores Financeiros , uma ação gratuita de orientação financeira , aberta ao público , alinhada à 5ª Semana Nacional de Educação Financeira do Banco Central . , Instituto Sicoob , Semana Nacional de Educação Financeira;0
751;É uma tentativa de trazer ao Brasil o que a Tencent criou na China com o seu WeChat . , Brasil , China;0
421;A velha e cínica Europa, origem de todo este problema, a assassina Europa como lhe chama o escritor israelita Amos Oz, sabe que não pode contrariar os Estados Unidos e não quer contrariar os israelitas por má consciência. , Estados Unidos , Europa;0
670;Credz , uma das maiores administradoras e emissoras de cartões do Brasil , em parceria com a TransUnion , companhia global de soluções de informação . , Brasil , Credz;1
1119;O Banco Pan anunciou seu cartão com cashback em parceria com o Méliuz , portal de vantagens especializado no programa . , Banco Pan , Méliuz;1
1328;O Mercado Pago , fintech do grupo Mercado Livre , firma parceria inédita com a Hub Fintech , líder em tecnologia e soluções de negócios em meios de pagamento no Brasil , que permite que um cartão bandeirado MasterCard acesse , em tempo real , o saldo de sua conta virtual no Mercado Pago para realizar compras em terminais e saques em redes conveniadas . , Mercado Pago , MasterCard;0
2518;A Logbank tem sinergia com a Orbitall e nos permitirá democratizar o acesso a soluções de banking as a service para pequenas e médias empresas, especialmente varejistas e startups que querem escalar seus negócios por meio de uma plataforma completa e modular de serviços financeiros a seus clientes”, afirma Marco Stefanini, CEO Global do Grupo Stefanini. , Orbitall , Logbank;1
1798;Ainda , a RecargaPay oferece um benefício exclusivo no mercado de cartões pré-pagos no Brasil : cada transação realizada com o cartão devolve 1% do valor da compra à carteira digital do cliente . , Brasil , RecargaPay;0
2227;A Embrapa Café e o Consórcio Pesquisa Café , em parceria com a Universidade Federal de Lavras e a Universidade Federal de Viçosa , selecionaram 26 startups para participarem da etapa piloto do projeto para a pré-aceleração de startups Avança Café . , Avança Café , Universidade Federal de Lavras;0
2627;A credenciadora de cartões PagSeguro, do grupo UOL, firmou uma parceria com o TikTok, da ByteDance, pela qual os usuários da rede social de compartilhamento de vídeos poderão receber valores em uma conta digital do PagBank. , UOL , PagBank;0
2702;Além disso, o BC liberou a Visa para fazer testes com o WhatsApp Pay, sistema de pagamentos anunciada pelo Facebook. , BC , Facebook;0
2648;A fintech Iugu, que tem um sistema que automatiza cobranças para empresas, espera terminar 2020 com o dobro de transações realizadas em relação a 2019, após ter recebido há duas semanas a autorização do Banco Central para operar como instituição de pagamento. , Iugu , Banco Central;1
3149;PagBank anuncia parceria com a marca Shell. , PagBank , Shell;1
811;No Norte, uma força do CICA liderada pelo Tenente-Coronel Carlos Azeredo toma o Quartel General da Região Militar do Porto. , Tenente-Coronel Carlos Azeredo , CICA;1
3219;Vai ter a melhor taxa, diz Octavio de Lazari, presidente do Bradesco. , Octavio de Lazari , Bradesco;1
188;A informação foi dada na conferência 'da Origem do Universo aos Grandes Telescópios', ministrada ontem por João Steiner, astrofísico da USP, durante a 52ª Reunião Anual da Sociedade Brasileira para o Progresso da Ciência. , Origem do Universo aos Grandes Telescópios , Progresso da Ciência;0
1209;"O encontro reuniu as cooperativas do Sicoob São Miguel , que atuam em Lajeado , Carlos Chagas e Veranópolis, do Sicoob Valcredi Sul , dos municípios de Venâncio Aires e Santa Cruz do Sul; e do Sicoob Vale do Vinho , de Bento Gonçalves , Caxias do Sul , Farroupilha e Flores da Cunha . , Sicoob São Miguel , Santa Cruz do Sul";0
1898;O banco terá um escritório em Nova York para data analytics e está desenvolvendo parcerias com o Instituto de Tecnologia de Massachusetts para submeter projetos aos seus alunos . , Nova York , Instituto de Tecnologia de Massachusetts;0
3198;Segundo levantamento feito por analistas da empresa Bernstein, estima-se que o Brasil possui mais assinantes da Netflix do que residências com TV paga. , Netflix , Bernstein;0
3008;A confiança e a segurança são primordiais para a saúde dos negócios e, nesse momento, viraram diferenciais competitivos no mercado, afirma Guilherme Evans, sócio de Customer e Marketing da Deloitte. , Customer e Marketing , Deloitte;1
876;Foi com base nesta sugestão da autarquia que uma extensa área de terreno que o Grupo Sonae ali adquiriu para a edificação de um centro de lazer e de um hipermercado deixou de ser atravessada pelo gasoduto - mudança fulcral em que os contestatários se apoiam para acusar a Transgás 'proteger a Sonae'. , Sonae , Transgás;0
1026;Nesse grupo , destaque para Via Varejo , Magazine Luiza , Carrefour e B2W , dona das marcas Americanas.com e Submarino . , Americanas.com , Submarino;0
3177;Enfatizou a expansão em entrevista ao programa Gaúcha+, da Rádio Gaúcha, ao ser questionada se achava que o e-commerce substituiria o varejo físico. , Gaúcha+ , Rádio Gaúcha;1
2791;Dentro dos planos estratégicos de expansão para o Paraná, a Unicred, uma das maiores cooperativas financeiras do País com mais de 220 mil cooperados, inaugurou uma nova agência em Foz do Iguaçu. , Foz do Iguaçu , País;0
2573;A XP Inc. acaba de comprar a DM10, um marketplace de seguros que conecta corretores a seguradoras, robustecendo sua oferta de vida e previdência num momento em que taxas de juros historicamente baixas aumentam o desafio da aposentadoria. , XP Inc , DM10;1
1638;Somado a isso , queremos trabalhar com o Senai e seus laboratórios e o Sebrae como parceiro estratégico para empreendedores , explicou França . , França , Senai;0
3027;Com sede em Pouso Alegre, no Sul de Minas, o banco contará também com escritório em São Paulo. , São Paulo , Sul de Minas;0
3280;Na agência de Sorocaba, por exemplo, o gerente Luiz Roberto Mathias Junior intermediou a exposição dos produtos do Empório Matuto, uma empresa de queijos e geleias do cooperado José Renato Moura Piantino. , José Renato Moura Piantino , Empório Matuto;1
2847;Muitos questionam a presença maciça de representantes da XP Investimentos no Ministério da Economia e no Palácio do Planalto. , XP , Palácio do Planalto;0
2078;Empresas como O Boticário e o atacado Assaí , do Grupo Pão de Açúcar , decidiram lançar subcredenciadoras , associando-se às grandes empresas de maquininhas , mas usando marca própria nos terminais distribuídos aos franqueados . , Grupo Pão de Açúcar , O Boticário;1
649;Como não é uma instituição financeira , o Mercado Pago conta com parceria com o Banco Topázio , do Rio Grande do Sul , e da financeira Money Plus para emprestar ao ecossistema do Mercado Livre . , Banco Topázio , Rio Grande do Sul;1
629;Com efeito, se bem haja conseguido separar-se de Portugal em 1822, o Brasil necessitou vários decênios mais para eliminar a tutelagem que, graças a sólidos acordos internacionais, mantinha sobre ele a Inglaterra. , Inglaterra , Brasil;0
132;A expansão internacional da MinTech passa por negócios na Ásia Indonésia , Filipinas , Vietnam e Índia  e , mais recentemente , na América Latina , começando pelo Brasil . , MinTech , América Latina;0
1824;Aprendemos que , quando criamos para a Índia , criamos para o mundo , disse Caesar Sengupta , vice-presidente da iniciativa do Google Next Billion Users e do Payments , no evento Google for India  em Nova Déli , na terça-feira . , Google Next Billion Users , Nova Déli;0
2612;A companhia, dona de sete marcas como Sams Club, Superbompreço, Maxxi Atacado e Mercadorama, teve receita líquida de 15,7 bilhões de reais nos primeiros nove meses de 2020, alta de 5,36% ante mesma etapa do ano passado, com a margem subindo de 1% para 3,9%. , Sams Club , Superbompreço;0
117;A empresa faturou 20 milhões de reais em 2018 e recebeu neste ano aporte de 5 milhões de reais do fundo Kviv Ventures , de Raphael Klein , da família fundadora da Casas Bahia . , Kviv Ventures , Casas Bahia;0
2058;A CAIXA também oferece 50% de desconto para a primeira anuidade dos cartões Visa , Mastercard e Elo . , Elo , Visa;0
2709;Vale lembrar que o BC havia suspendido o Whatsapp Pay alegando que era preciso alinhar alguns pontos relacionados a competitividade e privacidade de dados, principalmente por conta da concorrência direta com o PIX. , PIX , Whatsapp Pay;0
2940;O concorrente do Chromecast chega ao país por R$ 349,90 com fabricação nacional, realizada em Manaus. , Chromecast , Manaus;0
1990;Ao contrário da primeira leva de empresas que adotou o modelo focando sobretudo o uso de voz como a Conecta da Porto Seguro , absorvida pela TIM a tendência agora é de crescimento das operadoras virtuais em outras frentes , como a transmissão de dados entre máquinas , o chamado M2M , segundo a consultoria Teleco . , Conecta da Porto Seguro , Teleco;0
30;A Agrimart catalisa os processos de compra e venda de produtos agrícolas com foco em hortifrúti por meio de uma plataforma web de e-Procurement para os compradores e de um chatbot negociador Whatsapp para os produtores .  , Agrimart , Whatsapp;0
1313;O Maldi feito pelo grupo do LIP Laboratório de Instrumentação e Partículas, do Instituto de Física, também financiado pela Fapesp, saiu bem mais em conta , Fapesp , LIP Laboratório de Instrumentação e Partículas;0
1072;Nuno Severiano Teixeira reúne-se ainda com o comandante da força da Nato ISAF no Afeganistão, General Dan McNeill. , Nato ISAF , Nuno Severiano Teixeira;0
2351;O banco Santander do México já veio conhecer o Way , completou Cury . , México , Santander;1
2005;Segundo os desenvolvedores do token , ele foi construído justamente para atender o setor de turismo e , de acordo com o site oficial , possui parcerias com o Bank of China , Credit Suisse , HSBC , Banco Central de Cuba e Banco Central do Egito . , Banco Central de Cuba , HSBC;0
3207;Singu, plataforma digital brasileira de serviços de beleza em domicílio, criada por Tallis Gomes, fundador da Easy Taxi. , Easy Taxi , Singu;0
315;A RecargaPay , carteira de pagamentos digitais líder do Brasil , anuncia parceria com a Mastercard para oferecer aos seus 10 milhões de clientes o mais novo serviço da fintech o cartão pré-pago . , Brasil , Mastercard;0
2703;Além disso, o BC liberou a Visa para fazer testes com o WhatsApp Pay, sistema de pagamentos anunciada pelo Facebook. , BC , Visa;1
2951;Para promover o financiamento do imóvel 100% digital, o Imovelweb realizou uma parceria com a Credihome, plataforma que oferece o maior portfólio digital de crédito imobiliário do Brasil. , Imovelweb , Credihome;1
81;A Companhia de Tecnologia da Informação e Comunicação do Paraná é uma sociedade de economia mista do governo do Estado do Paraná , e lançou o programa em parceria com a empresa canadense de soluções e inovação ‘Blockchain Research Institute’ . , Estado do Paraná , Companhia de Tecnologia da Informação e Comunicação do Paraná;1
690;De lá para cá, José de Castro limitou-se a sobreviver politicamente alimentando algumas colunas com notas pouco convincentes, a respeito de uma suposta influência que ainda mantinha sobre Itamar só divulgadas devido ao fato de ter a Telerj sob seu controle. , Itamar , Telerj;0
1396;A Credicard , empresa de soluções de pagamento do banco Itaú Unibanco , acaba de anunciar sua parceria com a Chubb Seguros . , Chubb Seguros , Itaú Unibanco;0
2661;Segundo o secretário adjunto de Política Agrícola do Ministério da Agricultura, José Angelo Mazzillo, com a plataforma, o combate à venda casada será feito de forma coordenada com a pasta da Justiça. , José Angelo Mazzillo , Política Agrícola do Ministério da Agricultura;1
646;Como de costume, a conferência de Steve Jobs, o diretor-geral da empresa, foi o ponto alto para os fãs da Apple . , Steve Jobs , Apple;1
472;Além disso , buscamos estimular a independência financeira de mulheres que buscam no App Lady Driver uma opção de renda , afirma Roberto Niemeyer , presidente da Unidade Abastecimento B2C do Sem Parar . , Roberto Niemeyer , Sem Parar;0
361;A sede do banco CBSS , em Alphaville , na Grande São Paulo , pouco lembra o ambiente sisudo do mercado financeiro . , CBSS , Alphaville;1
530;Até o final deste ano , o Cilia espera chegar a um milhão de orçamentos , com a ajuda do Fasttrack . , Cilia , Fasttrack;0
330;A rede da Anova conecta , alem da Chicago Market Exchange , as bolsas BATS , Nasdaq , de Nova York e Cboe Markets . , Chicago Market Exchange , Anova;1
1512;Rappi faz parceria com a Visa e anuncia cartão pré-pago no Brasil . , Brasil , Visa;0
1155;O coordenador do Programa Pantanal do Ministério do Meio Ambiente, Paulo Guilherme Cabral, recebeu o estudo da Embrapa sobre o Taquari no início de julho. , Programa Pantanal do Ministério do Meio Ambiente , Paulo Guilherme Cabral;1
513;As Câmaras deverão assumir responsabilidades que resultem de uma contratualização com o Estado porque há serviços que o Estado presta mal e que as Câmaras poderão prestar, permitindo ao tecido empresarial ser cada vez mais competitivo. , Câmaras , Estado;0
976;O Ministro da Defesa Nacional, Nuno Severiano Teixeira, desloca-se ao Afeganistão, no dia 29 de Dezembro, para efetuar uma visita às Forças Nacionais Destacadas em Cabul . , Forças Nacionais Destacadas , Nuno Severiano Teixeira;1
3203;Serão serviços opcionais para os usuários, mas vamos garantir a facilitação da transação, aumentando a confiança e segurança da plataforma, diz Andries Oudshoorn, presidente executivo da OLX Brasil, em entrevista exclusiva ao Estadão. , Estadão , Andries Oudshoorn;1
245;A Mastercard fará uma parceria com a fintech Token para desenvolver um hub de Open Banking . , Mastercard , Token;1
755;É uma tentativa de trazer ao Brasil o que a Tencent criou na China com o seu WeChat . , China , Tencent;1
369;A SLC Agrícola , uma das maiores produtoras agrícolas brasileiras , lançou , nesta quarta-feira , o Agro Exponencial , seu programa de conexão com startups , tendo a consultoria Innoscience como responsável na gestão do mesmo . , SLC Agrícola , Agro Exponencial;1
3215;O Sistema CNASenar e o Banco do Brasil vão formar parceria inédita para facilitar o acesso de produtores rurais a linhas de crédito para desenvolvimento da atividade no campo. , Sistema CNASenar , Banco do Brasil;1
2040;A ideia de montar o espaço , inspirado nas americanas Rocket Space e Plug & Play , veio da necessidade de abrigar em um mesmo local os principais players do setor , afirma Gustavo . , Rocket Space , Gustavo;0
1099;O banco CBSS , controlado pelos sócios Bradesco e Banco do Brasil , fez uma parceria com a fintech Geru para empréstimos a pessoas físicas . , fintech Geru , Banco do Brasil;0
604;Clientes Digio poderão usufruir de cashbacks de até 10% utilizando o Poup , plataforma de cupons de desconto e cashback também do Banco CBSS , empresa da Holding Elopar . , Poup , Holding Elopar;0
2165;A Nexxera está presente em todas as capitais brasileiras e possui ainda um escritório de representação nos Estados Unidos . , Estados Unidos , Nexxera;0
253;A Neon atua em parceria com o Banco Votorantim para custódia e liquidação de suas contas , e a plataforma oferece serviços como  conta digital , investimento em CDB , cartão de débito , crédito e cartão virtual . , Banco Votorantim , Neon;1
2817;Em comunicado ao mercado, o Itaú informou que o CorpGroup, acionista do banco chileno, exerceu a opção de venda desses papéis, prevista no acordo de acionistas do Itaú CorpBanca. , Itaú CorpBanca , CorpGroup;1
2478;A Economatica lançou um levantamento que mostra que, o Mercado Livre se tornou a empresa mais valiosa da América Latina, ultrapassando gigantes como Vale. , Economatica , Vale;0
2788;De casa de trading a maior banco de investimentos da América Latina, o BTG Pactual vai entrar na terceira fase de sua história, assim que começar a oferecer conta corrente e cartões de crédito e de débito na plataforma digital de varejo BTG Mais. , América Latina , BTG Pactual;1
1066;WeDo adere à APOGEP IPMA alarga presença internacional Eventos SOVNET . , WeDo , APOGEP IPMA;1
531;Através da Casa de Cinema de Porto Alegre, esse grupo produziu obras-primas como o curta-metragem Ilha das Flores e apresentou para o país cineastas como Jorge Furtado, considerado um dos mais interessantes realizadores do cinema brasileiro atual. , Ilha das Flores , Casa de Cinema de Porto Alegre;0
2497;A GOL Linhas Aéreas, maior companhia doméstica do País, e a Spin Pay, primeira fintech a trazer soluções de open payments ao varejo brasileiro, anunciam parceria que promete revolucionar a forma de efetuar pagamentos de bilhetes aéreos e outros serviços oferecidos pela GOL, pioneira em oferecer essa modalidade em seu segmento no Brasil. , GOL , Brasil;1
529;Até então , havia apenas iniciativas pontuais , como a parceria do Banco do Brasil com o aplicativo Conta Azul , para empresas . , Banco do Brasil , Conta Azul;1
3021;O banco Santander e o grupo 3 Corações lançam a primeira edição do Food Delivery Series, um festival gastronômico que visa incentivar as entregas por delivery de pequenos negócios. , Corações , Food Delivery Series;1
163;A Flowins , startup que mescla serviços de marketplace e rede social aproveita a Campus Party para lançar sua conta Flow , um serviço financeiro voltado para os produtores cadastrados na plataforma . , Campus Party , Flow;0
2144;Em 2018 , a Vivo , Ericsson e a Raízen firmaram uma parceria para desenvolver soluções de conectividade no campo . , Vivo , Raízen;1
3085;O grupo Nós, joint venture entre a Raízen Combustíveis e a Femsa Comercio que assumiu a operação de lojas de conveniência Shell Select e vai explorar o varejo de proximidade no país com a marca OXXO, colocou em execução um agressivo plano de negócios, que prevê a abertura de mais de 500 pontos de venda nos próximos três anos, todos na região Sudeste. , Raízen Combustíveis , OXXO;0
1646;Sustentou Orlando Gonçalves, revelando que a Fanorte vai exigir uma explicação da Câmara. , Fanorte , Câmara;1
1046;No primeiro momento , o app irá destacar os pagamentos feitos a Netflix , iFood , Spotify , Uber e PayPal , os serviços digitais mais usados pelos clientes na plataforma da Neon , afirma a fintech em nota . , Spotify , Netflix;0
1191;O Dia de Cooperar em Paulo Afonso foi encerrado no último sábado , dia 10 , com a palestra Mãos transformadoras do lixo de Paulo Afonso , de Victor Flores , na ARPA . , Paulo Afonso , Victor Flores;0
1334;O Mercado Pago , instituição de pagamento do grupo Mercado Livre , e a Raízen , licenciada da marca Shell no Brasil , anunciam novas formas de pagamento por aplicativos no abastecimento em postos de combustíveis selecionados da rede em todo o país . , Mercado Livre , Shell;0
1994;De acordo com a Exame , com o investimento , a XP adquiriu uma participação minoritária da Olivia e se torna a parceria oficial da startup : os clientes receberão recomendações personalizadas de produtos financeiros da companhia . , Olivia , Exame;0
916;Igualmente nessa conferência, Portugal conseguiu da Espanha o reconhecimento de seus direitos sobre a colônia do Sacramento . , Portugal , Espanha;1
189;A informação foi dada na conferência 'da Origem do Universo aos Grandes Telescópios', ministrada ontem por João Steiner, astrofísico da USP, durante a 52ª Reunião Anual da Sociedade Brasileira para o Progresso da Ciência. , Origem do Universo aos Grandes Telescópios , Reunião Anual da Sociedade Brasileira;0
2928;O Pronampe Microcrédito conta com a parceria do Sebrae. , Pronampe Microcrédito , Sebrae;1
1727;O acordo foi anunciado pela startup de serviços financeiros três dias após o Banco Central anunciar a liquidação do Banco Neon , antigo Pottencial , o que ocasionou a suspensão de parte das operações financeiras da Neon Pagamentos , do empreendedor Pedro Conrade . , Banco Central , Pedro Conrade;0
761;Em 1956, Amílcar Cabral criou o Partido Africano para a Independência da Guiné e Cabo Verde , lutando contra o colonialismo e iniciando uma marcha para a independência. , Partido Africano para a Independência da Guiné , Amílcar Cabral;1
2146;Banco Inter , com sede em Belo Horizonte , selaram uma parceria referente à Linha de Crédito Plano Empresário , que irá assegurar a conclusão da obra. , Linha de Crédito Plano Empresário , Belo Horizonte;0
2041;A ideia de montar o espaço , inspirado nas americanas Rocket Space e Plug & Play , veio da necessidade de abrigar em um mesmo local os principais players do setor , afirma Gustavo . , Rocket Space , Plug & Play;0
1735;São 5 milhões de créditos pulverizados em oito carteiras do próprio Bradesco , de sua financeira e da Losango (HSBC) , com prazo médio de dois a dez anos . , Losango , HSBC;0
1240;O Facebook procurou JP Morgan Chase , Wells Fargo , Citigroup e US . , Wells Fargo , Citigroup;0
2409;Fontes consultadas pelo Valor dizem que, até o momento, a Pasta conseguiu ampliar os recursos para o seguro. , Pasta , Valor;0
2807;Depois de um ano de tratativas, o Banco do Brasil e o banco suíço UBS formalizaram hoje a parceria para iniciarem um banco de investimentos e uma corretora de valores que operará no Brasil e em mais cinco países latino-americanos: Argentina, Chile, Paraguai, Peru e Uruguai. , Brasil , Paraguai;0
2009;Pouca gente sabe , mas os três maiores bancos privados do País - Bradesco , Itaú e Santander - e o Banco do Brasil oferecem 150 cursos on-line gratuitos , abertos ao público em geral . , Santander , Itaú;0
2916;O Check-in agora será realizado também por um fluxo simplificado, orientado pela Gal, assistente virtual da companhia, diretamente no WhatsApp. , Gal , Check-in;0
2441;O banco, que já emprestou 1,95 bilhão de reais desde o dia 16 de junho, tem um limite de cerca de 3 bilhões de reais no programa, o que equivale a 20% dos 15,9 bilhões de reais liberados pela União ao Fundo Garantidor de Operações . , União , Fundo Garantidor de Operações FGO;1
2771;Com o objetivo de auxiliar o negócio de pequenos marceneiros, a Leo Madeiras, distribuidora de materiais para marcenaria e indústrias de móveis do Brasil, acaba de lançar sua própria maquininha de cartão. , Leo Madeiras , Brasil;1
155;A Firgun trabalha em parceria com organizações não-governamentais que atuam na periferia , como a Afrobusiness e a Barca , que atendeu Maria Pimentel , da Parça Progresso Confecções , do Jardim Ângela , zona sul de São Paulo , Firgun , Jardim Ângela;0
547;Banco do Brasil , em parceria com a Associação Brasileira de Fintechs e Startup Farm , vai selecionar fintechs para entrar na sua plataforma de Open Banking , lançada há um ano . , Startup Farm , Associação Brasileira de Fintechs;0
1552;São alguns deles a Tencent , Insight Venture Partners , Valar Ventures de Peter Thiel , fundador do PayPal . , PayPal , Insight Venture Partners;0
1244;O fato de Capa viajar então com a namorada Gerda Taro morta pouco depois e de enviar para Paris os rolos todos misturados sem a designação a quem pertencia cada um, ainda lança mais confusão na história. , Gerda Taro , Paris;0
599;A administradora de cartões de crédito para o mercado varejista , Cred-System , firmou parceria com a Neobpo , empresa especializada na oferta de soluções , tecnologia e serviços de BPO , para desenvolver um Assistente Virtual Inteligente , Neobpo , Cred-System;1
3180;A informação foi divulgada nesta segunda-feira, por Roberto Campos Neto, presidente do BC, na abertura da 9ª reunião plenária do Fórum Pagamentos Instantâneos . , Fórum Pagamentos Instantâneos , BC;0
515;As forças da Escola Prática de Cavalaria eram comandadas pelo então comandante Salgueiro Maia . , Escola Prática de Cavalaria , Salgueiro Maia;1
1298;O Instituto Nacional de Pesquisas Espaciais prediz um aumento de temperatura de até 5C em as áreas mais secas da Amazônia, em 50 anos, se a emissão de gases por queimadas permanecer em os níveis atuais. , Amazônia , Instituto Nacional de Pesquisas Espaciais;0
1080;O achado foi apresentado por Mark Mattson, do Instituto Nacional do Envelhecimentos dos EUA, durante a 170ª Reunião Anual da Associação Americana para o Avanço da Ciência, em Seattle, no noroeste dos Estados Unidos. , Seattle , Associação Americana para o Avanço da Ciência;0
2574;A XP Inc. lançou a XPEED, uma escola de educação financeira e de empreendedorismo, com uma grade de cursos que vão do básico ao MBA. , XP Inc , XPEED;1
1649;"Também o co-presidente dos Verdes , Daniel COHN-BENDIT, se mostrou 'consternado' com o ocorrido, mas pediu que não se dramatize a situação 'Há 50 loucos mas há 700 sãos';  , Daniel , Verdes";1
142;A fim de evitar que seus clientes paguem pelas transferências via TED ou DOC , a fintech disponibiliza contas nos bancos Itaú , Santander , Bradesco , Banco do Brasil e Banco Inter e Caixa Econômica , para onde o investidor envia o valor desejado . , Banco Inter , Santander;0
1057;Nos Estados Unidos , Indigo consegue aumentar produção em até 10% Do desenvolvimento da lavoura , à plataformas de comercialização e contratos com blockchain e logística , ela é conhecida como o Google do Agro . , Estados Unidos , Indigo;1
661;Como parte de uma aliança bancária internacional , o Banco Leumi de Israel TASE  LUMI , o CIBC e o Banco Nacional da Austrália ASX  NAB  lançaram hoje o Global Alliance Fintech Link , um portal on-line global , criado para auxiliar a impulsionar a inovação centrada no cliente , facilitando a colaboração entre os bancos e as empresas de tecnologia financeira a s fintechs . , CIBC , Banco Nacional da Austrália;0
1360;A expansão internacional da MinTech passa por negócios na Ásia Indonésia , Filipinas , Vietnam e Índia  e , mais recentemente , na América Latina , começando pelo Brasil . , Vietnam , Filipinas;0
3176;Presidente do conselho de administração da gigante do varejo Magazine Luiza, Luiza Trajano disse que a empresa abrirá 40 lojas no Rio Grande do Sul. , Luiza Trajano , Rio Grande do Sul;0
2400;O aporte foi feito por meio da Qualcomm Ventures , braço de investimento em inovação e empreendedorismo da Qualcomm . , Qualcomm Ventures , Qualcomm;1
977;Os censores de Zé Gregori elaboram um ofício advertindo a Rede Record por causa da exibição do filme Fogo contra Fogo em horário impróprio no último domingo. , Record , Rede;0
